Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Keith Abraham,Bắt Đầu Từ Đam Mê,Bạn muốn đưa sức sống vào mọi việc trong đời mình và truyền cảm hứng cho người khác cũng làm như vậy?,NXB Trẻ,93000,276,79000,01/08/2016,NXB Trẻ,Hết hàng,500
Ninh Hàng Nhất,1/14 - Tập 1: Trò Chơi Tử Thần (Tái Bản 2019),"Đây là một trò chơi thử thách trí tuệ và lòng dũng cảm, người thắng cuộc sẽ giành được phần thưởng vô cùng lớn và quyền được sinh tồn, còn những kẻ vi phạm nguyên tắc trò chơi sẽ phải nhận sự trừng phạt chính là cái chết.",Phúc Minh,148000,540,125500,18/08/2016,NXB Dân Trí,Hết hàng,850
Đức Anh,10 Vạn Câu Hỏi Vì Sao? -  Con Người,,Huy Hoàng,48000,183,40500,31/08/2016,NXB Dân Trí,Hết hàng,383
Triều Sơn,Phong Thủy Trong Kinh Doanh,"Ngày nay, khoa học",Huy Hoàng,88000,263,74500,31/08/2016,NXB Hà Nội,Hết hàng,563
Đức Anh,10 Vạn Câu Hỏi Vì Sao? - Vũ Trụ,Khác với những cuốn,Huy Hoàng,45000,193,38000,31/08/2016,NXB Dân Trí,Hết hàng,393
Hillary Rodham Clinton,Những Chọn Lựa Khó Khăn,"là lời giải thích của Hillary Rodham Clinton về những khủng hoảng, lựa chọn, và thách thức mà bà đối mặt trong bốn năm làm Ngoại trưởng thứ 67 của Hiệp chủng quốc Hoa Kỳ, và những kinh nghiệm này đã chi phối tầm nhìn tương lai của bà như thế nào.",NXB Trẻ,360000,796,306000,31/08/2016,NXB Trẻ,Hết hàng,"1,196"
Alex Ferguson,Alex Ferguson: Dẫn Dắt - Lãnh Đạo Chứ Không Quản Lý,,NXB Trẻ,180000,404,153000,31/08/2016,NXB Trẻ,Hết hàng,704
Lê Vân,Chuyện Cũ Bên Thềm,"Tập truyện kể về các nhân vật lịch sử Việt Nam: Hưng Đạo Vương, Yết Kiêu, Dã Tượng, Đoàn Nhữ Hài, Ngô Sĩ Liên​",NXB Kim Đồng,66000,340,56000,22/08/2016,NXB Kim Đồng,Hết hàng,590
Ha-chu,Sống Giấc Mơ Đời Mình,"là cuốn sách dành cho những bạn trẻ U25 đang chông chênh và không biết mình rồi sẽ trở thành con người thế nào, có thể trở thành con người mà mình muốn.",Văn Việt,72000,168,61000,17/08/2016,NXB Thế Giới,Hết hàng,400
Ức Cẩm,"Này, Buông Cô Ấy Ra","Diệp Sơ là một cô bé ngoan không chê vào đâu được, chỉ mỗi tội hơi thừa cân.",Bách Việt,128000,580,108500,24/08/2016,NXB Dân Trí,Hết hàng,800
Sophie Bellier,Tò Mò Quá! - Cảm Ơn Chú Lính Cứu Hộ,"Rất nhiều bạn nhỏ mơ ước được trở thành lính cứu hộ. Nhưng gấu Bác-na-bê thì không. Sau khi nghe các bạn kể những kỉ niệm của mình với các chú lính cứu hộ, và chính Bác-na-bê cũng được gặp các chú cứu hộ, thì Bác-na-bê chỉ mong ước sau này mình sẽ làm lính cứu hộ mà thôi.",NXB Kim Đồng,10000,24,8500,18/08/2016,NXB Kim Đồng,Hết hàng,224
Sophie Bellier,Tò Mò Quá! - Con Yêu Bố Mẹ,"Đô-mi-tô là một chú vịt nhỏ lanh lợi. Chú rất thích được ôm hôn, âu yếm và nghe những lời nói dịu dàng của bố mẹ. Chú chỉ muốn suốt ngày được ở bên bố mẹ, không cho bố mẹ đi làm.",NXB Kim Đồng,10000,24,8500,18/08/2016,NXB Kim Đồng,Hết hàng,224
Sophie Bellier,Tò Mò Quá! - Gia Đình Thân Yêu,"Gia đình nhà sói thật là đông đúc. Quá đông ý chứ, cô sói nhỏ Li-lu thường nghĩ vậy. Có bố mẹ này, anh trai và em gái này, cô chú này, các em họ này, và cả ông bà nữa. Đông người quá thế thì có sao không nhỉ?",NXB Kim Đồng,10000,24,8500,18/08/2016,NXB Kim Đồng,Hết hàng,224
Sophie Bellier,Tò Mò Quá! - Đi Bác Sĩ Nào!,"Ta-nu là một chú gấu trúc nhỏ dũng cảm. Nhưng Ta-nu lại rất sợ phải đi khám bác sĩ. Nhờ có các bạn và bố mẹ giải thích vì sao cần đi khám bác sĩ khi bị ốm, Ta-nu đã hiểu ra không có lí do gì phải sợ bác sĩ cả.",NXB Kim Đồng,10000,24,8500,18/08/2016,NXB Kim Đồng,Hết hàng,224
Ma Văn Kháng,Tủ Sách Vàng - Côi Cút Giữa Cảnh Đời,"Câu chuyện kể về cuộc sống nơi hậu phương với muôn vàn khó khăn trong những năm sau chiến tranh chống Mỹ. Người bà, trước vốn là người công nhân kiên cường, nay dù đã già nhưng bằng tình yêu thương vô bờ và nghị lực mạnh mẽ đã vượt qua khó khăn để nuôi hai đứa cháu thơ. Đói rét, cơm ăn, áo mặc, bệnh tật ốm đau, thế lực xấu lợi dụng, bắt nạt cũng không thể quật ngã được bà cháu Duy... Sau tất cả những biến cố của gia đình, những đứa trẻ vẫn giữ vững niềm tin vào tương lai tươi sáng, những lẽ phải, sự lương thiện của con người.",NXB Kim Đồng,53000,236,45000,15/08/2016,NXB Kim Đồng,Hết hàng,436
Sophie Bellier,Tò Mò Quá! - Em Gái Dễ Thương,Chú sóc Ca-bô-tanh rất vui khi có thêm em gái. Tuy nhiên khi thấy em bé xíu xiu thì Ca-bô-tanh lại thất vọng vô cùng: như thế thì làm sao chơi với em được. Nhưng dần dần chú sóc đã phát hiện ra có thêm em gái nhỏ thật tuyệt biết bao.,NXB Kim Đồng,10000,24,8500,18/08/2016,NXB Kim Đồng,Hết hàng,224
Yangsze Choo,Làm Dâu Cõi Chết,Gia đình họ Lim giàu có nhất vùng muốn Li Lan thành thân với con trai nhà họ.,IPM,115000,390,97500,09/09/2016,NXB Hội Nhà Văn,Hết hàng,700
Stuart Avery Gold,Ping - Vượt Ao Tù Ra Biển Lớn (Tái bản 2020),"Sau sự thành công của Ping - Vượt Khỏi Ao Tù ( tập 1 ), Ping – Hành Trình Ra Biển Lớn ( tập 2 ), First News đã nhận được rất nhiều ý kiến hồi âm từ bạn đọc, đặc biệt là các bạn trẻ về nội dung và hình thức của hai cuốn sách vô cùng ý nghĩa và sâu sắc này. Điều đặc biệt mà cuốn",First News - Trí Việt,88000,280,74500,30/06/2016,NXB Tổng Hợp,Hết hàng,480
Romain Rolland,Cuộc Đời Của Các Danh Nhân,"là bức tranh tái hiện lại cuộc đời của ba danh tài nổi tiếng thế giới: Luwig van Beethoven - nhà soạn nhạc khiếm thính vĩ đại nhất và có ảnh hưởng lớn tới nền âm nhạc nhân loại. Ông đã chịu bao nỗi bất hạnh của số phận, đã đánh đổi đau đớn thể xác để mang đến giai điệu ngọt ngào cho tất cả nhân loại. Michelangelo - họa sĩ, kiến trúc sư, nhà thơ tài hoa - người thổi hồn vào những bức tượng đá. Ông sẵn sàng từ chối niềm vui cá nhân để hy sinh cả đời cho nghệ thuật. Leo Nikolayevich Tolstoy - một nhà văn nổi tiếng của Liên Xô, con người bác ái, sẵn sàng từ bỏ cuộc sống yên bình để viết nên áng văn chương kêu gọi hòa bình trên khắp thế giới.",Huy Hoàng,78000,143,66000,31/08/2016,NXB Mỹ Thuật,Hết hàng,443
Nhiều tác giả,Gia Đình Thế Hệ Mới - Về Mẹ,"Ngôn ngữ ấy, khi tất cả những người con đứng trước lòng mẹ luôn rộng mở, thì có viết bao nhiêu cũng là chưa đủ, phải vậy không?",NXB Trẻ,60000,148,51000,01/08/2016,NXB Trẻ,Hết hàng,300
Nhiều Tác Giả,Kiến Thức Bé Thơ - Bé Chơi Mà Học,"là bộ sách rất đặc biệt và vô cùng cần thiết, hướng đến các bé ở lứa tuổi mẫu giáo.",NXB Trẻ,23000,32,19500,12/03/2017,NXB Trẻ,Hết hàng,130
Vân Anh,Món Ăn Dặm Cho Bé,"Sữa mẹ là thức ăn tốt nhất cho sự phát triển của trẻ sơ sinh và trẻ nhỏ. Tuy nhiên, đến một lúc nào đó, sữa mẹ không thể đáp ứng đủ nhu cầu dinh dưỡng cho sự phát triển và tăng trưởng của trẻ. Đó chính là lúc có thể bắt đầu cho trẻ ăn dặm và làm quen với thức ăn đặc.",Huy Hoàng,25000,147,21000,31/08/2016,NXB Dân Trí,Hết hàng,347
Louisa May Alcott,Rose,"Bao nhớ nhung xa cách cuối cùng cũng tan biến khi Rose Campbell quay trở về mảnh đất dấu yêu đã sinh thành ra cô... Vẫn là những gương mặt thân quen đó, vẫn những anh em họ đã từng là một phần quan trọng và đáng nhớ trong cuộc đời thơ ấu của cô, nhưng giờ đây tất cả dường như đã không còn như trước...",Văn Việt,105000,440,89000,06/09/2016,NXB Văn Học,Hết hàng,800
The Changmi,10 Phút Tự Học Tiếng Hàn Mỗi Ngày,Cuốn sách,MCBooks,85000,219,72000,31/08/2016,Nxb Đại học Quốc gia Hà Nội,Hết hàng,400
Ths. Cù Minh Nhật,Thực Hành Biểu Diễn Organ Cho Thiếu Nhi – Tập 2,,Huy Hoàng,68000,103,57500,31/08/2016,NXB Dân Trí,Hết hàng,503
Ths. Cù Minh Nhật,Thực Hành Biểu Diễn Organ Cho Thiếu Nhi – Tập 3,Bộ,Huy Hoàng,68000,103,57500,31/08/2016,NXB Dân Trí,Hết hàng,503
Hồng Hải,Thương Được Cứ Thương Đi,***,Bách Việt,82000,288,69500,10/03/2017,NXB Dân Trí,Hết hàng,350
Hà Blue,Dạ Khúc Màu Xanh,"Thành – một chàng trai Xử Nữ đầy nguyên tắc, khắc nghiệt với bản thân và vô cùng thực tế. Mục tiêu theo đuổi cả đời của cậu là một cuộc đời hoàn hảo và ưu tú, không có chỗ cho những mơ hồ bất định. Nhưng ẩn sâu bên trong cậu còn tồn tại một nỗi sợ cô đơn vô thức bởi những mất mát thuở nhỏ.",Văn Việt,83000,344,70500,10/09/2016,NXB Thế Giới,Hết hàng,500
Ths. Cù Minh Nhật,Thực Hành Biểu Diễn Organ Cho Thiếu Nhi – Tập 4,,Huy Hoàng,68000,103,57500,31/08/2016,NXB Dân Trí,Hết hàng,503
Walter Isaacson,Einstein Cuộc Đời Và Vũ Trụ (Phiên bản 2016),"khai thác và công bố những tư liệu mới nhất về Einstein, làm rõ những giai đoạn, sự kiện và vấn đề trong cuộc sống cá nhân của ông trên những chặng đường khoa học. Tập sách",Alphabooks,239000,720,203000,31/08/2016,NXB Thế Giới,Hết hàng,660
Tuluchu,Tùm Lum Chuyện,là cuốn sách tranh vui nhộn về nhân vật bé Dâu - một teen girl nhí nhảnh và không kém phần hóm hỉnh. Tác giả chia sẻ những quan điểm và cái nhìn của mình về các vấn đề trong cuộc sống thông qua hình ảnh bé Dâu hài hước.,Bách Việt,79000,144,67000,10/09/2016,NXB Dân Trí,Hết hàng,300
Trần Hoàng Trâm,Văn Học Teen - Chỉ Là Chuyện Cỏn Con,Chàng thất nghiệp.,NXB Kim Đồng,35000,180,29500,01/08/2016,NXB Kim Đồng,Hết hàng,450
Nguyễn Duy Nhiên,Ngắm Nhìn Tĩnh Tại,"là những bài viết chia sẻ về kinh nghiệm thiền tập, được chia thành 04 phần: Buông xả - Có mặt – Tĩnh giác – Hiểu thương, mỗi phần như một bước chân nhỏ trên con đường trở về nhà. Mỗi bài như một giọt sương buổi sáng, một chiếc lá, một tia nắng, một hạt bụi, một áng mây chiều… đều là những hình ảnh, kinh nghiệm khác nhau của cùng chung một thực tại. Tất cả cũng chỉ để nhắc nhở ta rằng, thật ra mình chẳng cần phải đi tìm ở một nơi nào xa xôi khác, mà cũng không cần phải trở về, vì quê nhà xưa nay cũng vẫn là ở đây.",Phương Nam,83000,248,70500,15/09/2016,Phương Đông,Hết hàng,400
Ihara Saikaku,Năm Người Đàn Bà Si Tình,...Sự đen tối của tâm hồn con người trước cám dỗ của sắc dục được miêu tả rất tinh tế trong,Phương Nam,49000,128,41500,15/09/2016,NXB Văn Học,Hết hàng,300
Mark Kurlansky,Khi Loài Cá Biến Mất,Một thế giới không còn cá thì sẽ như thế nào?,Văn Việt,152000,220,129000,10/09/2016,NXB Thế Giới,Hết hàng,450
Annie Ernaux,Một Chỗ Trong Đời,"Một người cha không bao giờ bước chân vào viện bảo tàng, chỉ đọc báo địa phương, không dùng gì khác ngoài con dao Opinel của riêng mình để ăn. Một người cha xuất thân nông dân rồi trở thành công nhân và cuối cùng là chủ một tiệm cà phê kiêm cửa hàng tạp phẩm. Một người cha luôn lo lắng bị nhầm “vị trí”. Cũng người cha ấy lấy làm tự hào về cô con gái nhờ được học hành tử tế mà đã đặt chân được vào giới tiểu tư sản. Nhưng đằng sau đó là khoảng cách, là những đớn đau, giằn vặt giữa cha và con.",Nhã Nam,50000,98,42500,01/09/2016,NXB Hội Nhà Văn,Hết hàng,298
Đào Duy Anh,Đất Nước Việt Nam Qua Các Đời,Công trình,Nhã Nam,100000,378,85000,12/06/2018,NXB Hồng Đức,Hết hàng,778
Alice Ferney,Nét Duyên Góa Phụ,"là tác phẩm của nhà văn Pháp Alice Ferney. Trong 100 trang sách, Alice Ferney kể về ba thế hệ phụ nữ trong một gia đình Pháp.",Nhã Nam,66000,211,56000,15/09/2016,NXB Hà Nội,Hết hàng,411
Odanaka Naoki,Lịch Sử Học Là Gì,"Mỗi lần xảy ra các hiện tượng đó, giáo dục lịch sử lại bị chỉ trích dữ dội. Gần đây nhất là cuộc tranh luận xung quanh hiện tượng học sinh không chọn môn Sử là môn thi tốt nghiệp THPT và việc nên dạy lịch sử một cách độc lập hay tích hợp. Các bên tranh luận rất hăng hái trên mọi diễn đàn. Nhưng dường như sự tranh luận đó giống như một sự cãi vã. Nó thiếu các chuẩn mực của tranh luận và các căn cứ học thuật cần thiết.",Đại Học Hoa Sen,100000,252,85000,31/07/2016,NXB Đại Học Quốc Gia TP.HCM,Hết hàng,350
Akiyoshi Torii,Đọc Vị Trẻ Qua Nét Vẽ (Thực Hành)- (Bản Bìa Mềm),,Thái Hà,65000,230,55000,15/09/2016,NXB Lao Động Xã Hội,Hết hàng,500
Trịnh Nguyên Phước,Cuộc Đối Thoại Giữa Đức Phật Và Gã Chăn Cừu (Bản Bìa Mềm),"Khi bạn đã cảm thấy hứng thú, cuốn sách sẽ đưa bạn vào sâu hơn, khám phá những lĩnh vực trừu tượng hơn nhưng không hề xa rời cuộc sống. Đó là thời gian, là thiện ác. Đã bao giờ bạn từng nghĩ về thời gian? Nó là gì mà ám ảnh cuộc sống chúng ta đến vậy? Chúng ta sợ già, chúng ta sợ chết, chúng ta nuối tiếc quá khứ, chúng ta lo lắng tương lai, chẳng phải tất cả đều là thời gian sao? Đã bao giờ bạn băn khoăn tại sao người này ở thiện mà lại bất hạnh, người kia ác mà lại sung sướng không? Rốt cuộc thì đâu mới là thiện, đâu mới là ác? Bạn sẽ tìm được phần nào câu trả lời cho những câu hỏi này cùng nhiều điều thú vị khác nữa.",Thái Hà,75000,350,63500,31/08/2016,NXB Lao Động Xã Hội,Hết hàng,600
Joanne Fluke,Bản Kháng Cáo Cuối Cùng,"Mọi chuyện tưởng như sẽ được giải quyết một cách dễ dàng khi Stan hứa sẽ nhanh chóng nộp bản kháng cáo cuối cùng của Michael lên tòa. Nhưng bất ngờ thay, sau hôm Michael trốn khỏi bệnh viện, lần lượt từng thành viên trong ban bồi thầm năm nào bị sát hại. Nhờ những công cụ tính toán trên máy tính của Toni, Michael cho rằng những vụ án liên tiếp xảy ra có liên quan đến nhau. Nhưng bản thân anh không chắc mình vô tội bởi chứng mộng du khiến anh không nhớ nổi những gì mình đã làm. Rồi một ngày, Toni phát hiện Mike Kruker không phải tên thật của anh. Liệu giữa lí trí và lòng tin tưởng anh, Toni sẽ chọn lựa như thế nào? Và để ngăn chặn kẻ giết người đang cố đổ tội cho mình, Michael sẽ làm gì? Tên hung thủ giấu mặt kia thực sự là ai?",Bách Việt,98000,384,83000,07/09/2016,NXB Lao Động Xã Hội,Hết hàng,Đang
Charlotte Bronte,Jane Eyre (Nhã Nam),"“Tôi không phải là chim, không có chiếc lồng nào có thể bẫy được tôi. Tôi là một người tự do, với một ý chí độc lập”",Nhã Nam,179000,540,152000,31/07/2023,NXB Văn Học,Hết hàng,700
Cửu Nguyệt Hi,Anh Biết Gió Từ Đâu Tới (Trọn Bộ 2 Tập),"không chỉ nói lên tình yêu đẹp đẽ của hai nhân vật chính, phải biết trân trọng từng chút thời gian yêu nhau, bên cạnh đó cuốn sách còn có thông điệp truyền tải rất ý nghĩa như bảo vệ môi trường, bảo vệ động vật hoang dã (linh dương Tây Tạng, cá voi Bắc Băng Dương), tiết kiệm nước sinh hoạt.",Quảng Văn,218000,930,185000,07/09/2016,NXB Hội Nhà Văn,Hết hàng,"1,500"
